,0
0,0
1,1063
2,894
3,466
4,2144
5,977
6,608
7,994
8,461
9,727
10,1232
11,834
12,114
13,890
14,723
15,2057
16,1612
17,860
18,199
19,1238
20,2176
21,237
22,792
23,1708
24,3714
25,1083
26,882
27,263
28,408
29,908
30,2595
31,610
32,2209
33,600
34,1318
35,17513
36,407
37,6900
38,713
39,821
40,4197
41,1366
42,4773
43,697
44,1122
45,7426
46,1323
47,1058
48,1910
49,666
50,692
51,2000
52,1840
53,2546
54,752
55,968
56,396
57,24319
58,674
59,484
60,7845
61,1132
62,2766
63,973
64,5058
65,11536
66,34077
67,304
68,763
69,641
70,1179
71,1169
72,438
73,2331
74,529
75,224
76,523
77,950
78,52466
79,6396
80,962
81,4125
82,9064
83,65534
84,332
85,5986
86,1709
87,8880
88,915
89,563
90,186
91,1875
92,14120
93,562
94,381
95,551
96,1158
97,1606
98,1888
99,1602
100,1443
101,662
102,1448
103,864
104,2586
105,17527
106,17154
107,1875
108,1555
109,900
110,10667
111,871
112,13180
113,549
114,1761
115,23260
116,1986
117,566
118,1183
119,64152
120,30325
121,12347
122,3267
123,9578
124,21422
125,1462
126,1218
127,921
128,850
129,803
130,3118
131,392
132,983
133,636
134,690
135,492
136,2365
137,554
138,372
139,740
140,517
141,3856
142,57080
143,891
144,2537
145,2709
146,1444
147,1701
148,2592
149,2456
150,4647
151,350187
152,3063
153,1303
154,7181
155,4647
156,1488
157,1431
158,2173
159,3290
160,7356
161,1752
162,1610
163,1124
164,811
165,1289
166,2703
167,2350
168,451
169,933
170,723
171,552
172,8504
173,539
174,2105
175,25121
176,12380
177,508
178,435
179,1270
180,1128
181,1016
182,868
183,486
184,7084
185,790
186,1842
187,16221
188,34886
189,1352
190,6150
191,873
192,240642
193,963
194,752
195,1191
196,1511
197,594
198,444
199,622
200,19165
201,2905
202,593
203,2519
204,3434
205,15452
206,3118
207,2532
208,32880
209,3104
210,572
211,956
212,2377
213,418
214,1067
215,1707
216,15186
217,557
218,973
219,2697
220,999
221,734
222,1810
223,5496
224,1766
225,638
226,1609
227,5033
228,1737
229,4650
230,801
231,798
232,1013
233,1317
234,1189
235,35695
236,721
237,613
238,604
239,848
240,366
241,1561
242,2220
243,618
244,413
245,713
246,24181
247,757
248,866
249,437
250,1128
251,322
252,3384
253,665
254,1806
255,618
256,23728
257,401
258,61321
259,1079
260,10694
261,734
262,1439
263,2654
264,1360
265,714
266,457
267,11915
268,6879
269,1026
270,2239
271,12877
272,407
273,973
274,9525
275,886
276,10103
277,1036
278,32120
279,4003
280,852
281,678
282,684
283,1407
284,4093
285,17944
286,2951
287,5402
288,52542
289,137231
290,17916
291,17543
292,537
293,12816
294,11669
295,19989
296,4260
297,8596
298,53666
299,32137
300,9289
301,1033
302,2491
303,3289
304,781
305,10889
306,899
307,20321
308,495
309,4005
310,5963
311,822
312,7993
313,1106
314,1330
315,1709
316,3265
317,366
318,2751
319,832
320,45357
321,65700
322,2199
323,47810
324,48035
325,34747
326,12931
327,1779
328,4284
329,549
330,21798
331,19502
332,1521
333,2968
334,14463
335,17821
336,18842
337,4531
338,1835
339,1757
340,16391
341,1476
342,31180
343,4811
344,5928
345,8638
346,40835
347,63376
348,20983
349,22017
350,52621
351,1093
352,8120
353,2913
354,16400
355,1777
356,1037
357,582
358,3076
359,1334
360,1963
361,1478
362,11380
363,695
364,739
365,5087
366,16872
367,3158
368,5935
369,493
370,2347
371,1059
372,1193
373,4927
374,3565
375,6971
376,1051
377,326
378,269
379,1536
380,657
381,1809
382,488
383,37574
384,593
385,988
386,516
387,19518
388,485
389,1685
390,636
391,499
392,4015
393,1023
394,14159
395,1141
396,5133
397,6044
398,9811
399,358
400,339
401,8540
402,23215
403,2926
404,467
405,27547
406,1486
407,954
408,628
409,1111
410,2014
411,742
412,3432
413,994
414,14190
415,2883
416,461
417,3265
418,4087
419,387
420,1104
421,1387
422,1183
423,23259
424,1538
425,743
426,339
427,1265
428,27213
429,9936
430,1916
431,1629
432,417
433,2275
434,32493
435,360
436,835
437,2068
438,3768
439,353
440,1481
441,26519
442,1102
443,3122
444,22398
445,2831
446,856
447,6298
448,34206
449,817
450,17828
451,4283
452,557
453,2102
454,4897
455,1715
456,1233
457,1589
458,707
459,14470
460,32388
461,5458
462,5045
463,53075
464,25570
465,13351
466,689
467,442
468,432
469,2989
470,576
471,3008
472,3540
473,497
474,24938
475,43060
476,21772
477,10226
478,2805
479,734
480,74625
481,1442
482,3994
483,3079
484,26689
485,614
486,400
487,319
488,495
489,648
490,896
491,1017
492,4341
493,935
494,3268
495,5549
496,2083
497,961
498,1376
499,883
500,3259
501,2801
502,608
503,1012
504,751
505,1028
506,433
507,2161
508,885
509,820
510,1918
511,2944
512,1030
513,374
514,735
515,279
516,246
517,17361
518,1093
519,654
520,1204
521,253
522,561
523,1434
524,651
525,494
526,721
527,1377
528,1302
529,902
530,607
531,342
532,361
533,1660
534,2379
535,15245
536,3227
537,3845
538,3966
539,1657
540,2076
541,1135
542,555
543,349
544,7130
545,5833
546,9538
547,572
548,11745
549,5007
550,1358
551,3273
552,4238
553,917
554,1441
555,1062
556,497
557,8726
558,9465
559,537
560,9620
561,4871
562,1567
563,644
564,762
565,25712
566,30062
567,10459
568,13734
569,4356
570,749
571,34562
572,4049
573,1381
574,1084
575,1988
576,3959
577,19910
578,852
579,24884
580,34283
581,1578
582,3161
583,3996
584,3157
585,594
586,9070
587,10474
588,371
589,15624
590,1915
591,50171
592,1985
593,2141
594,6173
595,186359
596,493
597,1101
598,813
599,26040
600,231158
601,2494
602,2063
603,1331
604,27108
605,891
606,19904
607,560
608,387
609,286
610,638
611,1510
612,3570
613,1417
614,557
615,1558
616,3571
617,1341
618,723
619,1154
620,815
621,1491
622,1193
623,2837
624,652
625,2876
626,562
627,3587
628,1142
629,1351
630,1597
631,3361
632,614
633,112366
634,35486
635,743
636,241
637,501
638,2787
639,972
640,2606
641,3198
642,2773
643,1110
644,5387
645,23564
646,911
647,9736
648,686
649,1850
650,634
651,261
652,1761
653,511
654,1559
655,856
656,1322
657,608
658,1095
659,4567
660,12881
661,665
662,1088
663,814
664,807
665,557
666,319
667,2108
668,819
669,271
670,509
671,16279
672,532
673,936
674,1061
675,285
676,1103
677,364
678,30886
679,1419
680,5824
681,3166
682,698
683,534
684,4965
685,858
686,7380
687,723
688,23631
689,11530
690,41741
691,28616
692,11795
693,1808
694,10114
695,267
696,789
697,1024
698,455
699,501
700,431
701,18120
702,667
703,546
704,2828
705,11936
706,3069
707,1158
708,393
709,440
710,311
711,4757
712,404
713,506
714,8817
715,1061
716,97454
717,1612
718,14872
719,127782
720,31012
721,20083
722,10458
723,46194
724,4057
725,2957
726,19100
727,5858
728,735
729,1276
730,931
731,573
732,328
733,1973
734,1447
735,3166
736,452
737,2810
738,1122
739,267
740,498
741,1762
742,558
743,8955
744,41517
745,1122
746,18285
747,352
748,2615
749,205
750,280
751,543
752,272
753,99
754,446
755,216
756,189
757,387
758,454
759,214
760,2068
761,202
762,14729
763,501
764,738
765,383
766,665
767,669
768,1421
769,664
770,1084
771,802
772,590
773,317
774,288
775,338
776,525
777,212
778,2251
779,495
780,2080
781,735
782,2207
783,1019
784,3346
785,764
786,520
787,395
788,3069
789,5740
790,5283
791,9402
792,182
793,1077
794,815
795,539
796,465
797,779
798,11296
799,750
800,369
801,249
802,1494
803,843
804,217
805,1052
806,1032
807,2167
808,960
809,256
810,359
811,1702
812,722
813,1021
814,737
815,1217
816,2903
817,1132
818,1434
819,395
820,284
821,999
822,137
823,2745
824,873
825,136
826,2058
827,783
828,854
829,497
830,1590
831,556
832,3857
833,331
834,120
835,665
836,659
837,550
838,975
839,1054
840,1510
841,1012
842,1038
843,821
844,1039
845,1613
846,793
847,2173
848,734
849,925
850,908
851,775
852,735
853,2025
854,3930
855,351
856,631
857,414
858,194
859,1055
860,3391
861,25875
862,1166
863,1199
864,381
865,356
866,836
867,893
868,915
869,4541
870,629
871,1109
872,746
873,229
874,866
875,347
876,279
877,548
878,9248
879,3020
880,581
881,385
882,466
883,473
884,1374
885,12042
886,2510
887,300
888,1478
889,490
890,619
891,929
892,843
893,610
894,7437
895,2044
896,747
897,722
898,556
899,935
900,1492
901,610
902,8426
903,54790
904,18253
905,429
906,396
907,837
908,473
909,769
910,2957
911,415
912,170
913,697
914,1393
915,1612
916,1024
917,886
918,551
919,185
920,3835
921,1919
922,1762
923,15677
924,212
925,596
926,2021
927,892
928,3059
929,3099
930,399
931,362
932,739
933,152
934,907
935,1086
936,707
937,408
938,361
939,368
940,1940
941,612
942,3120
943,601
944,1015
945,1761
946,1165
947,1613
948,1498
949,779
950,452
951,2269
952,330
953,225
954,465
955,613
956,20763
957,290
958,643
959,1260
960,1002
961,649
962,19314
963,312
964,2454
965,843
966,170
967,447
968,1768
969,491
970,799
971,1247
972,1662
973,966
974,1473
975,309
976,358
977,225
978,413
979,382
980,788
981,395
982,1212
983,260
984,1801
985,581
986,499
987,346
988,22506
989,1235
990,1430
991,2405
992,637
993,2184
994,713
995,751
996,697
997,413
998,1160
999,677
1000,438
1001,448
1002,37074
1003,654
1004,418
1005,215
1006,1251
1007,1563
1008,1684
1009,511
1010,7475
1011,567
1012,1179
1013,1437
1014,1361
1015,741
1016,1179
1017,249
1018,1631
