,Intercept
0,12.516
1,12.624
2,12.641
3,12.666
4,12.696
5,12.76
6,12.828
7,12.908
8,12.976
9,12.974
10,13.02
11,12.995
12,13.015
13,13.048
14,13.048
15,13.063
16,13.113
17,13.156
18,13.214
19,13.29
20,13.346
21,13.295
22,13.297
23,13.34
24,13.367
25,13.392
26,13.45
27,13.532
28,13.558
29,13.696
30,13.837
31,14.048
32,13.965
33,13.943
34,13.934
35,13.909
36,13.852
37,13.798
38,13.704
39,13.614
40,13.576
41,13.583
42,13.611
43,13.69
44,13.717
45,13.686
46,13.719
47,13.665
48,13.692
49,13.71
50,13.711
51,13.745
52,13.823
53,13.921
54,13.975
55,14.021
56,14.035
57,14.018
58,14.031
59,14.06
60,14.133
61,14.181
62,14.224
63,14.217
64,14.256
65,14.297
66,14.395
67,14.535
68,14.582
69,14.637
70,14.749
71,14.821
72,14.813
73,14.824
74,14.759
75,14.765
76,14.898
77,15.023
78,15.128
79,15.28
80,15.425
81,15.449
82,15.479
83,15.492
84,15.495
85,15.481
86,15.524
87,15.628
88,15.687
89,15.806
90,15.87
91,15.897
92,15.888
93,15.823
94,15.881
95,15.909
96,15.979
97,15.96
98,15.9
99,15.851
100,16.144
101,16.233
102,16.218
103,16.228
104,16.252
105,16.28
106,16.301
107,16.318
108,16.326
109,16.328
110,16.252
111,16.178
112,16.186
113,16.226
114,16.28
115,16.304
116,16.324
117,16.279
118,16.267
119,16.211
120,16.181
121,16.19
122,16.208
123,16.21
124,16.171
125,16.178
126,16.167
127,16.028
128,16.039
129,15.947
130,15.856
131,15.671
132,15.637
133,15.58
134,15.553
135,15.487
136,15.535
137,15.524
138,15.499
139,15.552
140,15.611
141,15.656
142,15.675
143,15.654
144,15.637
145,15.685
146,15.67
147,15.667
148,15.692
149,15.832
150,15.908
151,15.974
152,15.915
153,15.892
154,15.937
155,15.986
156,16.073
157,16.151
158,16.256
159,16.304
160,16.35
161,16.375
162,16.359
163,16.345
164,16.333
165,16.334
166,16.328
167,16.363
168,16.443
169,16.493
170,16.52
171,16.508
172,16.571
173,16.634
174,16.735
175,16.834
176,16.824
177,16.809
178,16.787
179,16.708
180,16.651
181,16.653
182,16.64
183,16.659
184,16.724
185,16.76
186,16.76
187,16.71
188,16.703
189,16.608
190,16.612
191,16.616
192,16.592
193,16.574
194,16.548
195,16.566
196,16.539
197,16.54
198,16.595
199,16.692
200,16.408
201,16.38
202,16.46
203,16.53
204,16.497
205,16.385
206,16.319
207,16.249
208,16.202
209,16.206
210,16.316
211,16.329
212,16.256
213,16.228
214,16.181
215,16.151
216,16.14
217,16.068
218,15.993
219,15.971
220,16.051
221,16.115
222,16.114
223,16.118
224,16.218
225,16.253
226,16.282
227,16.284
228,16.239
229,16.196
230,16.14
231,16.13
232,16.076
233,16.067
234,16.079
235,16.098
236,16.029
237,16.044
238,16.1
239,16.08
240,16.032
241,15.958
242,15.911
243,15.968
244,16.28
245,16.284
246,16.262
247,16.278
248,16.217
249,16.172
250,16.132
251,16.092
252,16.121
253,16.096
254,16.05
255,16.003
256,15.942
257,15.858
258,15.771
259,15.651
260,15.587
261,15.559
262,15.63
263,15.688
264,15.648
265,15.599
266,15.499
267,15.353
268,15.244
269,15.162
270,15.126
271,15.104
272,15.083
273,15.075
274,15.016
275,14.911
276,14.827
277,14.74
278,14.626
279,14.582
280,14.609
281,14.688
282,14.722
283,14.712
284,14.671
285,14.659
286,14.624
287,14.609
288,14.59
289,14.637
290,14.66
291,14.706
292,14.718
293,14.74
294,14.758
295,14.711
296,14.737
297,14.732
298,14.782
299,14.783
300,14.786
301,14.742
302,14.695
303,14.597
304,14.611
305,14.681
306,14.704
307,14.719
308,14.772
309,14.775
310,14.716
311,14.734
312,14.823
313,14.937
314,15.032
315,15.125
316,15.256
317,15.41
318,15.494
319,15.526
320,15.481
321,15.415
322,15.416
323,15.448
324,15.396
325,15.472
326,15.492
327,15.578
328,15.583
329,15.607
330,15.704
331,15.74
332,15.832
333,15.907
334,15.959
335,16.005
336,16.005
337,16.022
338,15.981
339,15.993
340,16.06
341,16.138
342,16.269
343,16.262
344,16.042
345,16.047
346,16.116
347,16.131
348,16.139
349,16.098
350,16.093
351,16.078
352,16.088
353,16.064
354,16.134
355,16.104
356,16.053
357,16.074
358,16.072
359,16.147
360,16.187
361,16.185
362,16.129
363,16.125
364,16.252
365,16.389
366,16.623
367,16.732
368,16.809
369,16.83
370,16.787
371,16.749
372,16.748
373,16.71
374,16.693
375,16.682
376,16.68
377,16.736
378,16.884
379,16.891
380,16.758
381,16.638
382,16.549
383,16.491
384,16.455
385,16.43
386,16.424
387,16.362
388,16.737
389,16.685
390,16.625
391,16.517
392,16.458
393,16.417
394,16.384
395,16.407
396,16.38
397,16.368
398,16.26
399,16.128
400,16.068
401,16.03
402,15.992
403,15.946
404,15.974
405,15.935
406,15.959
407,15.965
408,15.898
409,15.837
410,15.8
411,15.794
412,15.77
413,15.733
414,15.79
415,15.768
416,15.606
417,15.526
418,15.531
419,15.545
420,15.564
421,15.545
422,15.503
423,15.403
424,15.362
425,15.26
426,15.171
427,15.055
428,15.039
429,14.975
430,14.946
431,15.036
432,15.01
433,14.963
434,14.875
435,14.888
436,14.944
437,14.962
438,15.014
439,15.004
440,15.006
441,14.975
442,14.893
443,14.87
444,14.806
445,14.812
446,14.786
447,14.811
448,14.821
449,14.895
450,14.926
451,14.917
452,14.89
453,14.961
454,14.937
455,15.064
456,15.169
457,15.239
458,15.317
459,15.381
460,15.4
461,15.45
462,15.493
463,15.444
464,15.37
465,15.272
466,15.12
467,15.144
468,15.155
469,15.178
470,15.179
471,15.221
472,15.187
473,15.188
474,15.218
475,15.205
476,15.232
477,15.204
478,15.103
479,15.129
480,15.128
481,15.086
482,15.089
483,15.136
484,15.188
485,15.24
486,15.289
487,15.311
488,15.015
489,15.119
490,15.251
491,15.441
492,15.475
493,15.47
494,15.445
495,15.426
496,15.394
497,15.405
498,15.5
499,15.556
500,15.575
501,15.734
502,15.804
503,15.828
504,15.78
505,15.786
506,15.737
507,15.847
508,16.008
509,16.184
510,16.313
511,16.343
512,16.356
513,16.366
514,16.235
515,16.151
516,16.154
517,16.115
518,16.038
519,16.011
520,15.952
521,15.92
522,15.893
523,15.865
524,15.81
525,15.853
526,15.902
527,15.982
528,15.949
529,15.98
530,15.884
531,15.736
532,15.672
533,15.595
534,15.629
535,15.554
536,15.504
537,15.45
538,15.435
539,15.368
540,15.288
541,15.257
542,15.181
543,15.147
544,15.153
545,15.071
546,15.014
547,14.923
548,14.942
549,14.821
550,14.788
551,14.715
552,14.707
553,14.658
554,14.605
555,14.526
556,14.459
557,14.382
558,14.353
559,14.256
560,14.193
561,14.275
562,14.254
563,14.251
564,14.241
565,14.195
566,14.125
567,14.037
568,14.005
569,13.968
570,14.101
571,14.206
572,14.279
573,14.33
574,14.36
575,14.443
576,14.487
577,14.584
578,14.639
579,14.721
580,14.932
581,15.049
582,15.174
583,15.249
584,15.312
585,15.305
586,15.293
587,15.381
588,15.364
589,15.356
590,15.285
591,15.181
592,15.168
593,15.214
594,15.294
595,15.336
596,15.405
597,15.519
598,15.492
599,15.512
600,15.544
601,15.439
602,15.407
603,15.43
604,15.465
605,15.528
606,15.74
607,15.761
608,15.725
609,15.719
610,15.787
611,15.801
612,15.84
613,15.864
614,15.935
615,15.992
616,16.016
617,16.024
618,16.076
619,16.035
620,16.016
621,16.077
622,16.093
623,16.13
624,16.236
625,16.306
626,16.234
627,16.175
628,16.2
629,16.199
630,16.357
631,16.464
632,16.574
633,16.642
634,16.615
635,16.617
636,16.593
637,16.548
638,16.607
639,16.7
640,16.837
641,17.038
642,17.203
643,17.355
644,17.322
645,17.411
646,17.398
647,17.375
648,17.394
649,17.391
650,17.31
651,17.526
652,17.683
653,17.77
654,17.893
655,17.968
656,18.036
657,18.128
658,18.174
659,18.281
660,18.382
661,18.336
662,18.349
663,18.413
664,18.498
665,18.649
666,18.78
667,18.845
668,18.886
669,18.999
670,18.926
671,18.86
672,18.885
673,18.89
674,18.862
675,19.249
676,19.333
677,19.375
678,19.456
679,19.383
680,19.276
681,19.298
682,19.192
683,19.096
684,18.997
685,18.924
686,18.844
687,18.71
688,18.61
689,18.501
690,18.431
691,18.377
692,18.387
693,18.37
694,18.342
695,18.3
696,18.211
697,18.026
698,17.921
699,17.876
700,17.855
701,17.861
702,17.79
703,17.716
704,17.629
705,17.617
706,17.4
707,17.281
708,17.167
709,17.02
710,16.792
711,16.785
712,16.74
713,16.625
714,16.504
715,16.409
716,16.356
717,16.348
718,16.328
719,16.344
720,16.354
721,16.257
722,16.185
723,16.146
724,16.096
725,15.951
726,15.944
727,15.942
728,15.968
729,15.992
730,15.899
731,15.77
732,15.637
733,15.555
734,15.502
735,15.553
736,15.571
737,15.619
738,15.501
739,15.398
740,15.263
741,15.08
742,14.952
743,14.734
744,14.709
745,14.683
746,14.727
747,14.866
748,14.892
749,14.972
750,14.996
751,14.784
752,14.693
753,14.674
754,14.602
755,14.556
756,14.428
757,14.287
758,14.113
759,14.004
760,13.851
761,13.789
762,13.646
763,13.539
764,13.407
765,13.304
766,13.195
767,13.065
768,12.94
769,12.762
770,12.68
771,12.614
772,12.529
773,12.458
774,12.425
775,11.969
776,11.858
777,11.749
778,11.578
779,11.505
780,11.378
781,11.242
782,11.229
783,11.282
784,11.309
785,11.381
786,11.432
787,11.431
788,11.474
789,11.534
790,11.532
791,11.592
792,11.557
793,11.521
794,11.622
795,11.771
796,11.893
797,12.072
798,12.232
799,12.285
800,12.3
801,12.341
802,12.41
803,12.466
804,12.492
805,12.439
806,12.463
807,12.458
808,12.447
809,12.448
810,12.431
811,12.364
812,12.322
813,12.369
814,12.404
815,12.434
816,12.438
817,12.423
818,12.464
819,12.743
820,12.798
821,12.866
822,12.92
823,12.942
824,12.922
825,13.001
826,13.021
827,13.049
828,13.025
829,12.989
830,12.939
831,12.926
832,12.928
833,12.981
834,13.031
835,12.98
836,13.019
837,13.036
838,13.054
839,13.102
840,13.111
841,13.097
842,13.095
843,13.135
844,13.161
845,13.098
846,13.049
847,12.922
848,12.95
849,13.008
850,13.102
851,13.198
852,13.187
853,13.095
854,13.018
855,12.93
856,12.962
857,12.987
858,13.063
859,13.077
860,13.175
861,13.162
862,13.18
863,13.162
864,13.12
865,13.003
866,12.955
867,12.951
868,13.008
869,13.071
870,13.103
871,13.058
872,13.026
873,12.988
874,12.941
875,12.908
876,12.881
877,12.827
878,12.838
879,12.829
880,12.827
881,12.845
882,12.813
883,12.724
884,12.703
885,12.635
886,12.637
887,12.693
888,12.653
889,12.599
890,12.622
891,12.571
892,12.633
893,12.724
894,12.631
895,12.537
896,12.465
897,12.37
898,12.279
899,12.261
900,12.238
901,12.11
902,12.026
903,11.984
904,11.976
905,12.014
906,11.995
907,11.923
908,11.932
909,11.944
910,11.996
911,12.054
912,12.092
913,12.014
914,11.994
915,12.012
916,12.045
917,12.137
918,12.145
919,11.867
920,11.841
921,11.867
922,11.909
923,11.934
924,11.931
925,11.872
926,11.866
927,11.865
928,11.919
929,12.029
930,12.098
931,12.155
932,12.177
933,12.276
934,12.284
935,12.288
936,12.253
937,12.224
938,12.415
939,12.537
940,12.651
941,12.823
942,12.84
943,12.806
944,12.81
945,12.831
946,12.907
947,12.98
948,12.945
949,12.837
950,12.778
951,12.758
952,12.704
953,12.765
954,12.755
955,12.768
956,12.818
957,12.882
958,12.898
959,12.869
960,12.78
961,12.715
962,12.725
963,12.837
964,12.937
965,13.069
966,13.133
967,13.178
968,13.19
969,13.219
970,13.184
971,13.215
972,13.21
973,13.216
974,13.242
975,13.274
976,13.262
977,13.273
978,13.284
979,13.295
980,13.348
981,13.476
982,13.51
983,13.553
984,13.581
985,13.609
986,13.63
987,13.649
988,13.659
989,13.694
990,13.644
991,13.637
992,13.641
993,13.669
994,13.648
995,13.617
996,13.602
997,13.551
998,13.59
999,13.644
1000,13.718
1001,13.876
1002,13.977
1003,13.996
1004,14.126
1005,14.168
1006,14.191
1007,14.291
1008,14.328
1009,14.34
1010,14.344
1011,14.392
1012,14.376
1013,14.464
1014,14.51
1015,14.526
1016,14.589
1017,14.647
1018,14.677
1019,14.777
1020,14.809
1021,14.857
1022,14.873
1023,14.892
1024,14.866
1025,14.925
1026,14.966
1027,15.113
1028,15.253
1029,15.279
1030,15.292
1031,15.326
1032,15.418
1033,15.409
1034,15.465
1035,15.52
1036,15.605
1037,15.679
1038,15.536
1039,15.456
1040,15.431
1041,15.368
1042,15.452
1043,15.603
1044,15.691
1045,15.773
1046,15.799
1047,15.79
1048,15.713
1049,15.739
1050,15.726
1051,15.739
1052,15.81
1053,15.855
1054,15.9
1055,15.902
1056,15.852
1057,15.827
1058,15.841
1059,15.942
1060,16.004
1061,16.13
1062,16.241
1063,16.237
1064,16.282
1065,16.279
1066,16.338
1067,16.292
1068,16.233
1069,16.209
1070,16.279
1071,16.354
1072,16.378
1073,16.433
1074,16.409
1075,16.399
1076,16.437
1077,16.474
1078,16.515
1079,16.593
1080,16.586
1081,16.516
1082,16.654
1083,16.685
1084,16.72
1085,16.793
1086,16.833
1087,16.838
1088,16.916
1089,16.892
1090,16.905
1091,16.908
1092,16.844
1093,16.728
1094,16.694
1095,16.67
1096,16.667
1097,16.75
1098,16.721
1099,16.649
1100,16.613
1101,16.496
1102,16.412
1103,16.388
1104,16.276
1105,16.204
1106,16.523
1107,16.507
1108,16.468
1109,16.434
1110,16.4
1111,16.321
1112,16.322
1113,16.324
1114,16.285
1115,16.27
1116,16.209
1117,16.07
1118,15.974
1119,15.856
1120,15.776
1121,15.722
1122,15.716
1123,15.661
1124,15.754
1125,15.683
1126,15.644
1127,15.458
1128,15.249
1129,15.116
1130,15.059
1131,15.019
1132,14.944
1133,14.895
1134,14.871
1135,14.831
1136,14.791
1137,14.731
1138,14.648
1139,14.588
1140,14.525
1141,14.46
1142,14.394
1143,14.278
1144,14.227
