,Intercept
0,12.5159020526
1,12.624318582
2,12.6408988786
3,12.666205975
4,12.6963239651
5,12.7599645538
6,12.8279322449
7,12.9083578897
8,12.9763049737
9,12.9738721446
10,13.0201739903
11,12.9949718257
12,13.0152923404
13,13.047871278
14,13.047871278
15,13.0633748285
16,13.1132740049
17,13.155961475
18,13.2136448969
19,13.2898422124
20,13.3456101092
21,13.2948268378
22,13.2973198516
23,13.3397726818
24,13.3673143556
25,13.3924015819
26,13.4502810266
27,13.5320710308
28,13.5583148339
29,13.6962900926
30,13.8373990138
31,14.0482804445
32,13.9651159184
33,13.9433124632
34,13.9337297303
35,13.9093670268
36,13.8521090636
37,13.7976736243
38,13.703996423
39,13.6143583929
40,13.5761218053
41,13.5829115635
42,13.6109552287
43,13.6902992762
44,13.7168499438
45,13.6860217261
46,13.7194220942
47,13.6646540151
48,13.6920106706
49,13.7099932331
50,13.7108501345
51,13.7451701419
52,13.8227045852
53,13.92067298
54,13.9747202367
55,14.0210882521
56,14.0351163532
57,14.0175834182
58,14.0307310646
59,14.0596993107
60,14.1328235027
61,14.1806023635
62,14.2240970255
63,14.2169867547
64,14.2561372756
65,14.2971826447
66,14.3949147233
67,14.5350431107
68,14.5823588473
69,14.6371453534
70,14.7491801767
71,14.8212579769
72,14.8129233637
73,14.8240372234
74,14.7593237245
75,14.7648595088
76,14.8983430192
77,15.022701645
78,15.128229473
79,15.2802707069
80,15.4251608868
81,15.44928154
82,15.4792435393
83,15.4918255355
84,15.4947305251
85,15.4811785657
86,15.5238103987
87,15.6279737889
88,15.6866887122
89,15.8057690004
90,15.8701105423
91,15.8969139628
92,15.8879744632
93,15.8225715548
94,15.8810249947
95,15.9088411204
96,15.9785947752
97,15.9596314556
98,15.8998949137
99,15.8512759712
100,16.1442266051
101,16.2332644811
102,16.2180529272
103,16.2281923785
104,16.2515371801
105,16.2800022698
106,16.3013838014
107,16.3176933386
108,16.3258542253
109,16.3278950846
110,16.2515371801
111,16.1775584341
112,16.1856492358
113,16.2261639812
114,16.2800022698
115,16.3044405974
116,16.3238136211
117,16.2789848015
118,16.2667801402
119,16.2109590809
120,16.1805920107
121,16.189696154
122,16.207919811
123,16.2099459276
124,16.171492987
125,16.1775584341
126,16.1674506191
127,16.0276042291
128,16.0386269957
129,15.9466695215
130,15.856230269
131,15.6710098643
132,15.636766997
133,15.580186331
134,15.5529448482
135,15.4869850963
136,15.5354576236
137,15.5238103987
138,15.498604692
139,15.5519728195
140,15.6113778848
141,15.656325177
142,15.6749281065
143,15.6543682587
144,15.636766997
145,15.6847279987
146,15.6700304567
147,15.6670926015
148,15.6915915685
149,15.832463753
150,15.9078468489
151,15.9736022444
152,15.9148080546
153,15.8919469533
154,15.936705967
155,15.9855869398
156,16.0727453159
157,16.1512912495
158,16.2556005723
159,16.3044405974
160,16.3503613824
161,16.3749053279
162,16.3585386073
163,16.3452526928
164,16.3329983492
165,16.3340191935
166,16.3278950846
167,16.3626287532
168,16.4425913187
169,16.4930239402
170,16.5198468918
171,16.5084934003
172,16.5705164711
173,16.6338121459
174,16.7349609295
175,16.8335682001
176,16.8241019807
177,16.80938733
178,16.7873394812
179,16.7077887014
180,16.6514949636
181,16.6525357146
182,16.6400509951
183,16.6587815865
184,16.7245048467
185,16.7600822071
186,16.7600822071
187,16.7098773055
188,16.7025683331
189,16.6078421088
190,16.6119945883
191,16.6161481061
192,16.5922795529
193,16.5736237342
194,16.5477476681
195,16.5663743598
196,16.5394758624
197,16.5405096119
198,16.595390897
199,16.6921324894
200,16.4076879102
201,16.3800232854
202,16.4600708564
203,16.5301750233
204,16.4971477116
205,16.3851428426
206,16.3187132263
207,16.2495058649
208,16.2018429806
209,16.2058939477
210,16.3156537544
211,16.32891561
212,16.2556005723
213,16.2281923785
214,16.1805920107
215,16.1512912495
216,16.1401910529
217,16.0677233677
218,15.9925821642
219,15.9706074748
220,16.0506604779
221,16.1149916965
222,16.113984541
223,16.1180135407
224,16.2180529272
225,16.2525529329
226,16.2820373973
227,16.2840727792
228,16.2393530968
229,16.1957684285
230,16.1401910529
231,16.1301065852
232,16.0757592382
233,16.0667191664
234,16.0787737256
235,16.0978786107
236,16.0286059857
237,16.0436398498
238,16.0998909713
239,16.0797786804
240,16.0316116311
241,15.9576366263
242,15.9108298499
243,15.9676132666
244,16.2800022698
245,16.2840727792
246,16.2616975656
247,16.2779673967
248,16.2170393305
249,16.1725037369
250,16.1321229745
251,16.091843038
252,16.1210359516
253,16.0958665017
254,16.049657343
255,16.0025806523
256,15.9416869659
257,15.8582124217
258,15.7712316697
259,15.6514333398
260,15.5870041538
261,15.5587782962
262,15.6299274077
263,15.6876691609
